id;name;products;services;monthly_price;annual_price;discount;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;deploy card withdrawal;93593;87499;37773;53525;65936;2021-08-24T04:27:20;2021-08-23T23:14:37;blockchains Factors Crossroad;invoice Account;true
2;Tugrik Expressway;29642;27106;1492;12649;66901;2021-08-23T17:56:48;2021-08-23T09:19:37;Granite pixel;convergence bandwidth-monitored Down-sized;false
3;e-markets hacking RAM;3548;41176;93257;72976;50251;2021-08-23T10:05:10;2021-08-23T13:05:12;Human utilize portal;West Card;false
4;orange Practical;27039;64535;4590;58824;56497;2021-08-23T20:04:30;2021-08-24T04:27:58;District calculating;Cambridgeshire;true
5;Buckinghamshire;5718;3764;57607;36458;37808;2021-08-23T12:58:13;2021-08-23T15:31:05;teal;Gibraltar SDD;false
6;Alaska Plastic;65617;27839;6906;90892;54259;2021-08-23T07:47:43;2021-08-24T02:17:42;Personal Stravenue;alarm Facilitator Bedfordshire;true
7;Ergonomic revolutionize;2192;68249;70;75303;27755;2021-08-24T00:41:20;2021-08-23T21:58:59;invoice;black;false
8;deposit Wooden New;80294;42469;395;17674;31119;2021-08-24T00:49:59;2021-08-24T03:24:58;transmit Rhode Czech;Market;false
9;bottom-line Global Chief;47797;33008;52169;49584;54898;2021-08-24T05:51:37;2021-08-23T14:43:12;networks;Centralized contextually-based facilitate;false
10;hierarchy Savings;20192;81842;5102;19106;38991;2021-08-23T08:16:14;2021-08-24T02:25:07;Down-sized;cyan Industrial;false
