id;start_date;end_date;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;2021-08-23T14:43:13;2021-08-23T10:32:16;2021-08-23T16:55:27;2021-08-24T00:05:14;Handcrafted;Supervisor back Manager;false
2;2021-08-23T20:34:53;2021-08-24T02:39:55;2021-08-24T06:59:47;2021-08-23T10:14:17;Saint;Generic Soft platforms;true
3;2021-08-23T07:50:05;2021-08-23T21:14:20;2021-08-23T14:01:55;2021-08-24T02:42:12;bluetooth auxiliary;Granite Panama;true
4;2021-08-24T06:36:03;2021-08-23T15:53:05;2021-08-23T23:38:37;2021-08-23T09:37:34;Gloves;Electronics Automotive silver;false
5;2021-08-23T20:17:39;2021-08-23T22:55:50;2021-08-23T22:34:29;2021-08-23T19:15:41;scale;Market;true
6;2021-08-24T05:03:10;2021-08-23T13:05:52;2021-08-24T00:11:43;2021-08-23T08:12:52;Shirt visionary Kids;Visionary;false
7;2021-08-23T10:11:23;2021-08-24T00:46:00;2021-08-23T17:18:16;2021-08-23T09:04:28;French plum matrix;generation;false
8;2021-08-23T19:51:47;2021-08-23T20:43:05;2021-08-24T00:40:51;2021-08-23T15:32:34;overriding tangible;Auto Outdoors Fresh;false
9;2021-08-23T10:37:16;2021-08-24T04:06:23;2021-08-23T17:04:34;2021-08-23T14:48:05;demand-driven Electronics Sports;Visionary Monetary;false
10;2021-08-23T10:21:12;2021-08-23T16:50:28;2021-08-23T12:05:52;2021-08-24T01:48:32;bluetooth synergy Accountability;Kwacha Kwacha;true
