id;name;logo_image_url;pincode;latitude;longitude;plan_expiry_date;status;website_link;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;Car;Designer Dynamic Manager;80679;invoice;magenta groupware;2021-08-23T16:24:18;VERIFIED;Borders CFA Handcrafted;2021-08-24T03:17:14;2021-08-23T13:01:24;Configuration;solution asymmetric Corporate;false
2;Usability indexing Polarised;turquoise Tools Macao;55483;Baby;Dominican;2021-08-23T14:46:47;INACTIVE;emulation Unbranded bleeding-edge;2021-08-23T23:57:52;2021-08-23T09:54:59;District purple;Multi-lateral firewall;true
3;Rustic invoice Beauty;Rubber digital;27748;Intelligent AI;Handcrafted;2021-08-23T18:02:09;VERIFIED;Aruba Jewelery;2021-08-23T19:08:44;2021-08-23T17:45:36;value-added Plastic Handcrafted;Tools;true
4;Horizontal;Stravenue back Incredible;40311;methodical;portals digital;2021-08-24T01:01:53;INACTIVE;Kansas;2021-08-23T22:19:54;2021-08-23T15:41:39;Refined Rubber Principal;Chicken XML protocol;false
5;Colombia;Avon monitor;41354;transmitting Liberian override;ADP;2021-08-24T03:14:34;VERIFIED;Highway;2021-08-23T10:43:24;2021-08-23T10:25:52;intermediate XML;deposit Grass-roots;false
6;frame Bolivia;Regional override Fresh;13211;Clothing experiences;navigate Wyoming;2021-08-23T14:42:51;VERIFIED;indexing;2021-08-24T03:41:28;2021-08-24T01:14:31;Small deposit Legacy;maroon;true
7;Avon deposit Cotton;methodology Focused;45632;optical;bi-directional;2021-08-23T10:53:03;INACTIVE;Metal calculating;2021-08-23T14:08:20;2021-08-24T02:30:23;Account;Idaho Quality Guernsey;true
8;haptic Auto;bricks-and-clicks;2195;index bricks-and-clicks IB;Loan;2021-08-23T09:40:06;VERIFIED;synergistic Alabama;2021-08-23T08:38:11;2021-08-23T17:27:17;deposit software;leading-edge;false
9;Islands deposit French;invoice wireless;27685;generating Creative Islands;silver protocol;2021-08-23T15:40:02;INACTIVE;magenta Executive;2021-08-24T06:58:00;2021-08-23T17:09:52;Maine;sensor Washington;false
10;global;Account 1080p;9989;Tasty;Assurance Virtual;2021-08-24T03:01:41;VERIFIED;Liaison Saint;2021-08-24T03:24:09;2021-08-23T14:11:26;Tactics;Tasty up;true
