id;name;code;file_path;file_type;short_description;description;external_link;created_date;last_modified_date;created_by;last_modified_by;is_deleted;category_id;room_id
1;Steel;Assistant;cross-platform Principal;wireless Computer;reboot magenta THX;THX;Centers Metal navigating;2021-08-23T17:43:33;2021-08-23T21:13:14;throughput;Internal intermediate;false;1;1
2;green Malagasy;Lao;Australian;Business-focused;Rubber;aggregate Security Data;Vermont auxiliary;2021-08-23T09:50:11;2021-08-23T10:52:32;Personal Steel;solutions;false;2;2
3;withdrawal invoice;Bike Shoes Center;tangible;Cheese Renminbi;Consultant online;project hacking efficient;mobile metrics;2021-08-23T08:39:44;2021-08-24T02:50:35;wireless sticky Harbors;Customer;true;3;3
4;Gorgeous;Brand;Plastic Cambridgeshire;Automotive;Operations Chicken;Usability multi-byte;Kids IB;2021-08-23T18:55:29;2021-08-23T18:17:18;Executive;magenta;false;4;4
5;wireless Practical Solutions;International Square;Frozen Sausages;invoice;CFA;Colombian B2C;bypassing Gateway Virtual;2021-08-23T08:55:40;2021-08-23T13:10:47;Borders Pula;capability synthesizing pink;false;5;5
6;focus Phased infomediaries;sky;Engineer generating;portals Berkshire intuitive;Concrete Account Account;Functionality Small adapter;Gloves;2021-08-23T08:14:04;2021-08-23T13:34:29;Buckinghamshire;application e-business Concrete;true;6;6
7;Human deposit orange;exuding copying;methodologies Future;transmitting Account;bluetooth;Utah Mouse;engage ROI Account;2021-08-23T09:12:10;2021-08-24T01:34:59;multi-tasking;primary Plastic;true;7;7
8;Malta matrix Unbranded;forecast Credit;Rhode aggregate indexing;Computer PCI;Visionary Baby teal;Engineer;Refined;2021-08-23T11:09:39;2021-08-23T10:59:56;payment Berkshire;Chicken transform;true;8;8
9;Paraguay;payment;back-end Liechtenstein U.S.;frictionless wireless user-facing;Account compress;auxiliary Oman Shirt;Pizza Metal;2021-08-24T06:26:21;2021-08-23T16:50:11;mobile;Car;true;9;9
10;navigate;invoice Marketing sticky;Creative navigate;copy;orange technologies;Music Shoes Hampshire;Berkshire Games global;2021-08-23T11:17:16;2021-08-23T14:55:29;niches AI Loan;port niches;false;10;10
