id;name;code;image_url;short_description;description;external_link;created_date;last_modified_date;created_by;last_modified_by;is_deleted;category_id;room_id
1;Wooden collaborative system;Grocery leverage;Account Metal PCI;Account;Steel Bedfordshire Frozen;Nevada;2021-08-24T01:16:56;2021-08-23T15:57:47;navigating Home Cambridgeshire;methodologies;true;1;1
2;auxiliary Multi-channelled;haptic;National bluetooth deposit;IB Libyan frictionless;auxiliary;invoice;2021-08-24T02:43:07;2021-08-24T02:46:47;Cotton Hawaii parse;IB Manor;false;2;2
3;SAS;turn-key;Cambridgeshire revolutionary SCSI;pink XML Graphical;Small;strategic;2021-08-24T04:16:06;2021-08-23T21:51:07;user-centric;RAM quantify;true;3;3
4;Assurance;JBOD Indiana;monitor deposit pixel;Small;Lead;Credit sensor Lari;2021-08-23T20:46:39;2021-08-24T04:17:47;Hong Re-contextualized withdrawal;Hryvnia;true;4;4
5;synthesize ubiquitous;Architect Soap;complexity Pants back-end;connect;Proactive;hack;2021-08-23T11:57:13;2021-08-23T15:35:08;Direct Fresh International;success Multi-layered;false;5;5
6;transmit Bacon Buckinghamshire;Harbor SMTP Groves;architect web-readiness;Loan Fresh Shoes;Operations asynchronous withdrawal;Fresh Togo Concrete;2021-08-24T04:10:21;2021-08-23T18:57:15;Berkshire redefine;Gorgeous content;false;6;6
7;bandwidth Loan;Synchronised Bedfordshire;Baby;Franc Optimization;Loan parse;Ferry withdrawal;2021-08-24T02:10:27;2021-08-24T04:14:57;Mouse Account Agent;Maryland Borders;true;7;7
8;grow Bedfordshire Regional;Pataca;projection;Intranet Specialist Music;Sausages reinvent Re-engineered;compressing Computers bus;2021-08-23T10:16:10;2021-08-23T20:24:56;Sleek Fresh Washington;Rhode;false;8;8
9;Hat;Jewelery Kwanza benchmark;state Keyboard Engineer;generating;payment intranet;FTP;2021-08-24T04:25:49;2021-08-23T20:39:46;Center Beauty action-items;boliviano;false;9;9
10;modular embrace;Generic Arizona;Caledonia;copying;Vermont Upgradable South;Account;2021-08-24T03:35:27;2021-08-24T05:08:18;Shore Card Senior;Manager Reunion Berkshire;false;10;10
